Time,Predicted_Electric_Demand
2021-08-07 19:10:00,34910.875
2021-08-07 19:15:00,34750.27
2021-08-07 19:20:00,34670.594
2021-08-07 19:25:00,34581.797
2021-08-07 19:30:00,34483.746
2021-08-07 19:35:00,34380.21
2021-08-07 19:40:00,34247.4
2021-08-07 19:45:00,34118.965
2021-08-07 19:50:00,34058.2
2021-08-07 19:55:00,33975.066
2021-08-07 20:00:00,33940.113
2021-08-07 20:05:00,33806.953
2021-08-07 20:10:00,33813.84
2021-08-07 20:15:00,33811.684
2021-08-07 20:20:00,33816.117
2021-08-07 20:25:00,33753.676
2021-08-07 20:30:00,33617.34
2021-08-07 20:35:00,33534.938
2021-08-07 20:40:00,33424.14
2021-08-07 20:45:00,33334.887
2021-08-07 20:50:00,33166.47
2021-08-07 20:55:00,33012.086
2021-08-07 21:00:00,32854.523
2021-08-07 21:05:00,32688.049
2021-08-07 21:10:00,32626.963
2021-08-07 21:15:00,32715.875
2021-08-07 21:20:00,32559.611
2021-08-07 21:25:00,32434.492
2021-08-07 21:30:00,32297.166
2021-08-07 21:35:00,32128.385
2021-08-07 21:40:00,31947.174
2021-08-07 21:45:00,31777.984
2021-08-07 21:50:00,31590.525
2021-08-07 21:55:00,31398.139
2021-08-07 22:00:00,31223.047
2021-08-07 22:05:00,31036.633
2021-08-07 22:10:00,30767.21
2021-08-07 22:15:00,30558.508
2021-08-07 22:20:00,30415.64
2021-08-07 22:25:00,30225.244
2021-08-07 22:30:00,30005.182
2021-08-07 22:35:00,29853.26
2021-08-07 22:40:00,29707.213
2021-08-07 22:45:00,29530.379
2021-08-07 22:50:00,29351.488
2021-08-07 22:55:00,29174.887
2021-08-07 23:00:00,28923.582
2021-08-07 23:05:00,28728.564
2021-08-07 23:10:00,28545.611
2021-08-07 23:15:00,28410.945
2021-08-07 23:20:00,28198.643
2021-08-07 23:25:00,28026.52
2021-08-07 23:30:00,27834.807
2021-08-07 23:35:00,27649.375
2021-08-07 23:40:00,27483.621
2021-08-07 23:45:00,27262.584
2021-08-07 23:50:00,27124.596
2021-08-07 23:55:00,26974.756
2021-08-08 00:00:00,26791.658
2021-08-08 00:05:00,26610.41
2021-08-08 00:10:00,26553.338
2021-08-08 00:15:00,26498.49
2021-08-08 00:20:00,26297.586
2021-08-08 00:25:00,26194.012
2021-08-08 00:30:00,26069.602
2021-08-08 00:35:00,25929.059
2021-08-08 00:40:00,25781.912
2021-08-08 00:45:00,25666.654
2021-08-08 00:50:00,25504.89
2021-08-08 00:55:00,25380.492
2021-08-08 01:00:00,25246.566
2021-08-08 01:05:00,25111.703
2021-08-08 01:10:00,25043.244
2021-08-08 01:15:00,24937.34
2021-08-08 01:20:00,24827.27
2021-08-08 01:25:00,24744.705
2021-08-08 01:30:00,24630.486
2021-08-08 01:35:00,24521.25
2021-08-08 01:40:00,24401.557
2021-08-08 01:45:00,24290.197
2021-08-08 01:50:00,24263.072
2021-08-08 01:55:00,24114.201
2021-08-08 02:00:00,23997.475
2021-08-08 02:05:00,23897.074
2021-08-08 02:10:00,23830.484
2021-08-08 02:15:00,23757.59
2021-08-08 02:20:00,23650.236
2021-08-08 02:25:00,23620.81
2021-08-08 02:30:00,23525.94
2021-08-08 02:35:00,23454.62
2021-08-08 02:40:00,23386.893
2021-08-08 02:45:00,23312.926
2021-08-08 02:50:00,23230.586
2021-08-08 02:55:00,23175.334
2021-08-08 03:00:00,23118.45
2021-08-08 03:05:00,23054.889
2021-08-08 03:10:00,22994.314
2021-08-08 03:15:00,22934.96
2021-08-08 03:20:00,22889.695
2021-08-08 03:25:00,22832.188
2021-08-08 03:30:00,22810.373
2021-08-08 03:35:00,22736.873
2021-08-08 03:40:00,22674.768
2021-08-08 03:45:00,22626.008
2021-08-08 03:50:00,22572.844
2021-08-08 03:55:00,22551.322
2021-08-08 04:00:00,22513.836
2021-08-08 04:05:00,22431.686
2021-08-08 04:10:00,22507.531
2021-08-08 04:15:00,22539.096
2021-08-08 04:20:00,22443.488
2021-08-08 04:25:00,22343.686
2021-08-08 04:30:00,22314.914
2021-08-08 04:35:00,22337.842
2021-08-08 04:40:00,22410.83
2021-08-08 04:45:00,22400.723
2021-08-08 04:50:00,22358.973
2021-08-08 04:55:00,22328.59
2021-08-08 05:00:00,22329.807
2021-08-08 05:05:00,22343.686
2021-08-08 05:10:00,22362.518
2021-08-08 05:15:00,22406.867
2021-08-08 05:20:00,22362.975
2021-08-08 05:25:00,22348.791
2021-08-08 05:30:00,22344.334
2021-08-08 05:35:00,22368.314
2021-08-08 05:40:00,22408.807
2021-08-08 05:45:00,22398.18
2021-08-08 05:50:00,22371.453
2021-08-08 05:55:00,22375.951
2021-08-08 06:00:00,22367.395
2021-08-08 06:05:00,22353.938
2021-08-08 06:10:00,22409.91
2021-08-08 06:15:00,22402.22
2021-08-08 06:20:00,22327.754
2021-08-08 06:25:00,22297.076
2021-08-08 06:30:00,22162.713
2021-08-08 06:35:00,22034.18
2021-08-08 06:40:00,22049.285
2021-08-08 06:45:00,22104.61
2021-08-08 06:50:00,22001.266
2021-08-08 06:55:00,21957.58
2021-08-08 07:00:00,21964.969
2021-08-08 07:05:00,21980.53
2021-08-08 07:10:00,22048.293
2021-08-08 07:15:00,22098.85
2021-08-08 07:20:00,22158.762
2021-08-08 07:25:00,22130.783
2021-08-08 07:30:00,22098.26
2021-08-08 07:35:00,22111.48
2021-08-08 07:40:00,22095.11
2021-08-08 07:45:00,22122.215
2021-08-08 07:50:00,22059.69
2021-08-08 07:55:00,22054.604
2021-08-08 08:00:00,22129.527
2021-08-08 08:05:00,22189.31
2021-08-08 08:10:00,22378.537
2021-08-08 08:15:00,22539.475
2021-08-08 08:20:00,22580.453
2021-08-08 08:25:00,22592.05
2021-08-08 08:30:00,22538.219
2021-08-08 08:35:00,22509.184
2021-08-08 08:40:00,22476.098
2021-08-08 08:45:00,22520.111
2021-08-08 08:50:00,22449.818
2021-08-08 08:55:00,22424.586
2021-08-08 09:00:00,22394.879
2021-08-08 09:05:00,22332.146
2021-08-08 09:10:00,22505.125
2021-08-08 09:15:00,22682.016
2021-08-08 09:20:00,22610.01
2021-08-08 09:25:00,22578.812
2021-08-08 09:30:00,22590.074
2021-08-08 09:35:00,22608.94
2021-08-08 09:40:00,22562.678
2021-08-08 09:45:00,22520.738
2021-08-08 09:50:00,22539.838
2021-08-08 09:55:00,22537.162
2021-08-08 10:00:00,22489.955
2021-08-08 10:05:00,22538.97
2021-08-08 10:10:00,22626.186
2021-08-08 10:15:00,22634.215
2021-08-08 10:20:00,22578.734
2021-08-08 10:25:00,22565.879
2021-08-08 10:30:00,22573.213
2021-08-08 10:35:00,22571.648
2021-08-08 10:40:00,22596.023
2021-08-08 10:45:00,22647.13
2021-08-08 10:50:00,22633.584
2021-08-08 10:55:00,22713.904
2021-08-08 11:00:00,22778.316
2021-08-08 11:05:00,22822.293
2021-08-08 11:10:00,22948.938
2021-08-08 11:15:00,23097.04
2021-08-08 11:20:00,23155.18
2021-08-08 11:25:00,23199.086
2021-08-08 11:30:00,23271.137
2021-08-08 11:35:00,23384.754
2021-08-08 11:40:00,23428.463
2021-08-08 11:45:00,23521.271
2021-08-08 11:50:00,23651.535
2021-08-08 11:55:00,23725.918
2021-08-08 12:00:00,23847.621
2021-08-08 12:05:00,23981.322
2021-08-08 12:10:00,24094.008
2021-08-08 12:15:00,24310.375
2021-08-08 12:20:00,24379.193
2021-08-08 12:25:00,24492.955
2021-08-08 12:30:00,24649.697
2021-08-08 12:35:00,24782.11
2021-08-08 12:40:00,24920.996
2021-08-08 12:45:00,25111.676
2021-08-08 12:50:00,25246.678
2021-08-08 12:55:00,25396.074
2021-08-08 13:00:00,25566.826
2021-08-08 13:05:00,25688.85
2021-08-08 13:10:00,25703.867
2021-08-08 13:15:00,25835.828
2021-08-08 13:20:00,25969.111
2021-08-08 13:25:00,26145.953
2021-08-08 13:30:00,26358.482
2021-08-08 13:35:00,26544.34
2021-08-08 13:40:00,26739.748
2021-08-08 13:45:00,26927.865
2021-08-08 13:50:00,27105.764
2021-08-08 13:55:00,27262.76
2021-08-08 14:00:00,27519.277
2021-08-08 14:05:00,27662.518
2021-08-08 14:10:00,27820.621
2021-08-08 14:15:00,28044.373
2021-08-08 14:20:00,28216.424
2021-08-08 14:25:00,28435.783
2021-08-08 14:30:00,28648.914
2021-08-08 14:35:00,28895.924
2021-08-08 14:40:00,29088.814
2021-08-08 14:45:00,29317.068
2021-08-08 14:50:00,29482.059
2021-08-08 14:55:00,29725.576
2021-08-08 15:00:00,29986.17
2021-08-08 15:05:00,30235.264
2021-08-08 15:10:00,30272.113
2021-08-08 15:15:00,30509.19
2021-08-08 15:20:00,30723.012
2021-08-08 15:25:00,30950.08
2021-08-08 15:30:00,31162.605
2021-08-08 15:35:00,31406.389
2021-08-08 15:40:00,31632.8
2021-08-08 15:45:00,31852.387
2021-08-08 15:50:00,31989.059
2021-08-08 15:55:00,32175.568
2021-08-08 16:00:00,32395.318
2021-08-08 16:05:00,32539.521
2021-08-08 16:10:00,32560.334
2021-08-08 16:15:00,32720.314
2021-08-08 16:20:00,32905.562
2021-08-08 16:25:00,33114.844
2021-08-08 16:30:00,33354.65
2021-08-08 16:35:00,33590.195
2021-08-08 16:40:00,33741.992
2021-08-08 16:45:00,33880.273
2021-08-08 16:50:00,34076.62
2021-08-08 16:55:00,34228.156
2021-08-08 17:00:00,34397.598
2021-08-08 17:05:00,34534.9
2021-08-08 17:10:00,34583.652
2021-08-08 17:15:00,34741.625
2021-08-08 17:20:00,34901.746
2021-08-08 17:25:00,35058.867
2021-08-08 17:30:00,35266.4
2021-08-08 17:35:00,35438.668
2021-08-08 17:40:00,35517.05
2021-08-08 17:45:00,35609.605
2021-08-08 17:50:00,35767.215
2021-08-08 17:55:00,35759.535
2021-08-08 18:00:00,35847.33
2021-08-08 18:05:00,35867.566
2021-08-08 18:10:00,35839.49
2021-08-08 18:15:00,35803.61
2021-08-08 18:20:00,35891.2
2021-08-08 18:25:00,35918.367
2021-08-08 18:30:00,35973.516
2021-08-08 18:35:00,35960.746
2021-08-08 18:40:00,35905.793
2021-08-08 18:45:00,35870.637
2021-08-08 18:50:00,35857.59
2021-08-08 18:55:00,35830.367
2021-08-08 19:00:00,35769.465
2021-08-08 19:05:00,35671.777
2021-08-08 19:10:00,35538.99
2021-08-08 19:15:00,35439.33
2021-08-08 19:20:00,35301.45
2021-08-08 19:25:00,35166.66
2021-08-08 19:30:00,35029.98
2021-08-08 19:35:00,34952.348
2021-08-08 19:40:00,34824.953
2021-08-08 19:45:00,34736.973
2021-08-08 19:50:00,34629.45
2021-08-08 19:55:00,34585.453
2021-08-08 20:00:00,34491.113
2021-08-08 20:05:00,34487.266
2021-08-08 20:10:00,34431.324
2021-08-08 20:15:00,34435.68
2021-08-08 20:20:00,34399.492
2021-08-08 20:25:00,34333.543
2021-08-08 20:30:00,34242.02
2021-08-08 20:35:00,34155.652
2021-08-08 20:40:00,34033.65
2021-08-08 20:45:00,33894.125
2021-08-08 20:50:00,33757.87
2021-08-08 20:55:00,33626.492
2021-08-08 21:00:00,33454.75
2021-08-08 21:05:00,33277.176
2021-08-08 21:10:00,33238.22
2021-08-08 21:15:00,33225.816
2021-08-08 21:20:00,33081.98
2021-08-08 21:25:00,32942.824
2021-08-08 21:30:00,32782.06
2021-08-08 21:35:00,32526.54
2021-08-08 21:40:00,32396.627
2021-08-08 21:45:00,32258.717
2021-08-08 21:50:00,32026.828
2021-08-08 21:55:00,31768.164
2021-08-08 22:00:00,31508.658
2021-08-08 22:05:00,31249.113
2021-08-08 22:10:00,31054.938
2021-08-08 22:15:00,30710.52
2021-08-08 22:20:00,30498.021
2021-08-08 22:25:00,30355.572
2021-08-08 22:30:00,30070.74
2021-08-08 22:35:00,29871.133
2021-08-08 22:40:00,29643.527
2021-08-08 22:45:00,29472.428
2021-08-08 22:50:00,29236.506
2021-08-08 22:55:00,29018.986
2021-08-08 23:00:00,28800.162
2021-08-08 23:05:00,28542.996
2021-08-08 23:10:00,28320.6
2021-08-08 23:15:00,28147.885
2021-08-08 23:20:00,27983.055
2021-08-08 23:25:00,27788.957
2021-08-08 23:30:00,27584.09
2021-08-08 23:35:00,27380.33
2021-08-08 23:40:00,27180.78
2021-08-08 23:45:00,27066.469
2021-08-08 23:50:00,26873.156
2021-08-08 23:55:00,26658.873
2021-08-09 00:00:00,26455.227
2021-08-09 00:05:00,26239.816
2021-08-09 00:10:00,26135.992
2021-08-09 00:15:00,26097.719
2021-08-09 00:20:00,25974.36
2021-08-09 00:25:00,25890.88
2021-08-09 00:30:00,25720.998
2021-08-09 00:35:00,25582.016
2021-08-09 00:40:00,25455.357
2021-08-09 00:45:00,25315.982
2021-08-09 00:50:00,25204.61
2021-08-09 00:55:00,25086.693
2021-08-09 01:00:00,24934.89
2021-08-09 01:05:00,24801.982
2021-08-09 01:10:00,24681.123
2021-08-09 01:15:00,24578.223
2021-08-09 01:20:00,24530.742
2021-08-09 01:25:00,24416.629
2021-08-09 01:30:00,24293.623
2021-08-09 01:35:00,24228.215
2021-08-09 01:40:00,24129.727
2021-08-09 01:45:00,24041.13
2021-08-09 01:50:00,23947.07
2021-08-09 01:55:00,23890.627
2021-08-09 02:00:00,23783.494
2021-08-09 02:05:00,23709.438
2021-08-09 02:10:00,23680.016
2021-08-09 02:15:00,23597.412
2021-08-09 02:20:00,23529.934
2021-08-09 02:25:00,23483.963
2021-08-09 02:30:00,23385.89
2021-08-09 02:35:00,23325.867
2021-08-09 02:40:00,23246.2
2021-08-09 02:45:00,23180.8
2021-08-09 02:50:00,23131.6
2021-08-09 02:55:00,23061.654
2021-08-09 03:00:00,23011.598
2021-08-09 03:05:00,22923.217
2021-08-09 03:10:00,22980.99
2021-08-09 03:15:00,22925.148
2021-08-09 03:20:00,22881.469
2021-08-09 03:25:00,22886.793
2021-08-09 03:30:00,22854.162
2021-08-09 03:35:00,22816.008
2021-08-09 03:40:00,22812.514
2021-08-09 03:45:00,22808.06
2021-08-09 03:50:00,22756.002
2021-08-09 03:55:00,22758.107
2021-08-09 04:00:00,22753.69
2021-08-09 04:05:00,22740.46
2021-08-09 04:10:00,22839.766
2021-08-09 04:15:00,22965.207
2021-08-09 04:20:00,23038.492
2021-08-09 04:25:00,23078.555
2021-08-09 04:30:00,23066.395
2021-08-09 04:35:00,23036.375
2021-08-09 04:40:00,23102.37
2021-08-09 04:45:00,23169.092
2021-08-09 04:50:00,23220.842
2021-08-09 04:55:00,23265.938
2021-08-09 05:00:00,23309.43
2021-08-09 05:05:00,23344.719
2021-08-09 05:10:00,23604.645
2021-08-09 05:15:00,23808.857
2021-08-09 05:20:00,23936.87
2021-08-09 05:25:00,24045.045
2021-08-09 05:30:00,24136.06
2021-08-09 05:35:00,24144.791
2021-08-09 05:40:00,24283.857
2021-08-09 05:45:00,24345.93
2021-08-09 05:50:00,24440.355
2021-08-09 05:55:00,24508.596
2021-08-09 06:00:00,24595.18
2021-08-09 06:05:00,24702.752
2021-08-09 06:10:00,25044.953
2021-08-09 06:15:00,25345.121
2021-08-09 06:20:00,25418.52
2021-08-09 06:25:00,25460.225
2021-08-09 06:30:00,25476.35
2021-08-09 06:35:00,25437.145
2021-08-09 06:40:00,25535.506
2021-08-09 06:45:00,25639.713
2021-08-09 06:50:00,25665.357
2021-08-09 06:55:00,25800.385
2021-08-09 07:00:00,25872.455
2021-08-09 07:05:00,26013.045
2021-08-09 07:10:00,26308.402
2021-08-09 07:15:00,26522.006
2021-08-09 07:20:00,26616.162
2021-08-09 07:25:00,26682.316
2021-08-09 07:30:00,26694.111
2021-08-09 07:35:00,26677.768
2021-08-09 07:40:00,26759.97
2021-08-09 07:45:00,26820.834
2021-08-09 07:50:00,26835.012
2021-08-09 07:55:00,26930.033
2021-08-09 08:00:00,26944.795
2021-08-09 08:05:00,26964.912
2021-08-09 08:10:00,27132.848
2021-08-09 08:15:00,27181.299
2021-08-09 08:20:00,27277.656
2021-08-09 08:25:00,27297.521
2021-08-09 08:30:00,27345.32
2021-08-09 08:35:00,27318.475
2021-08-09 08:40:00,27246.166
2021-08-09 08:45:00,27252.742
2021-08-09 08:50:00,27255.967
2021-08-09 08:55:00,27245.771
2021-08-09 09:00:00,27281.219
2021-08-09 09:05:00,27339.465
2021-08-09 09:10:00,27433.037
2021-08-09 09:15:00,27442.66
2021-08-09 09:20:00,27462.607
2021-08-09 09:25:00,27477.87
2021-08-09 09:30:00,27468.867
2021-08-09 09:35:00,27491.607
2021-08-09 09:40:00,27515.111
2021-08-09 09:45:00,27533.379
2021-08-09 09:50:00,27586.049
2021-08-09 09:55:00,27699.928
2021-08-09 10:00:00,27763.523
2021-08-09 10:05:00,27783.809
2021-08-09 10:10:00,27872.006
